edge_id,from,to,flow
1008721864,736,77,0.0
100956974#0,76,75,0.0
100956974#1,75,77,0.0
100956976,707,266,0.0
100956984,269,738,0.0
100957056#0,79,78,0.0
1014588117#1,82,84,0.0
101787389#0,86,85,0.0
101787389#2,85,87,0.0
101787390,83,82,0.0
101803460#0,159,712,0.0
1021118270#0,89,87,0.0
104783655,91,90,0.0
1064164653#0,93,92,0.0
1064164653#1,92,94,0.0
106550056,96,95,0.0
106565695#0,625,297,0.0
106565695#6,297,251,0.0
106565700#0,98,99,0.0
106565700#1,99,100,0.0
106571470#0,102,101,0.0
106611423#0,100,661,0.0
106611423#1,661,298,0.0
106611423#2,298,250,0.0
106611423#3,250,249,0.0
106611423#4,249,815,0.0
106682043,104,103,0.0
106682054#0,105,103,0.0
106682054#1,103,106,0.0
1066920921#0,108,107,0.0
1066920921#2,107,109,0.0
1068897312#2,54,53,0.0
1068897312#3,53,111,0.0
1090275792#0,289,288,0.0
1097484039#1,816,324,0.0
1097493785,114,176,0.0
1112296911,119,118,0.0
113050825#0,121,120,0.0
113591024#0,123,122,0.0
1213907699,88,709,0.0
1218004934,312,817,0.0
1223875566#0,818,819,0.0
1223875567#0,820,821,0.0
1228413140#0,125,124,0.0
1228413141,124,366,0.0
1234360587#0,127,126,0.0
1234360587#2,126,607,0.0
124614729,129,128,0.0
124614742,131,130,0.0
124614747#0,128,132,0.0
124614747#1,132,133,0.0
124614753,135,134,0.0
124614762,137,136,0.0
124766961#0,139,138,0.0
124766961#2,138,140,0.0
124766961#3,140,141,0.0
124766961#4,141,142,0.0
124766961#5,142,143,0.0
124777541#0,145,144,0.0
124778675,423,427,0.0
124788226,552,822,0.0
124797121,147,146,0.0
124797123#0,149,148,0.0
124797123#1,148,150,0.0
124797124#0,152,151,0.0
124797124#2,151,149,0.0
124797127#0,153,151,0.0
124797127#2,151,154,0.0
