edge_id;from;to;flow
-608921524;2631675887;2631675883;0.0
-61934860#2;772081205;772081192;0.0
-61934872#0;528983519;772081266;0.0
-61934872#3;2115907069;528983519;0.0
-61934876;1026436953;772081298;0.0
-62032407;1017730972;1017730962;0.0
-62055379#1;773477546;cluster_2599605967_773477517;0.0
-62055665#0;1025971463;1017730972;0.0
-62055665#1;cluster_1025974314_773477526;1025971463;0.0
-622364503;367090919;717797615;0.0
-622364504;34522818;7498684946;0.0
-625024452;367090965;2178561190;0.0
-625024453#1;cluster_2514751914_2514751916;cluster_1227155219_2178561185_7494849068;0.0
-625575509;292203437;278814366;0.0
-629516620;7147348420;3265945118;0.0
-629516621#1;686822076;686822106;0.0
-629516621#4;2565984276;686822076;0.0
-639294331;418762926;4728913615;0.0
-66755324#5;717703025;717703125;0.0
-66755325#1;461890752;715598866;0.0
-66755326;717703168;717703036;0.0
-66755328#1;807082798;717688148;0.0
-66758837#0;cluster_719035896_719035941;719035817;0.0
-66758842#0;1878842397;719065299;0.0
-66758842#1;719065306;1878842397;0.0
-66758853;7193754749;719065596;0.0
-66758870#2;1387795297;807103605;0.0
-66758871#0;cluster_12065174404_719065610;719065653;0.0
-66758871#1;719065294;cluster_12065174404_719065610;0.0
-66758871#4;6815005443;719065294;0.0
-66758876#1;7235330207;8605467530;0.0
-671725483#0;1015102221;941384561;0.0
-671725483#1;941384576;1015102221;0.0
-688590311;7215523255;935444374;0.0
-688590312;3045103536;461904686;0.0
-699762287;1225881125;34522818;0.0
-700553431#1;1225652401;cluster_1225652382_6578749326;0.0
-700553431#3;1225652520;1225652401;0.0
-700553432#0;1225880659;cluster_1225652382_6578749326;0.0
-700553432#1;1225946577;1225880659;0.0
-700553432#2;1225880607;1225946577;0.0
-700553433;1225881390;1225880746;0.0
-700553434#0;cluster_7181120639_9207664593;1225652520;0.0
-700553434#1;1137739287;cluster_7181120639_9207664593;0.0
-710634802#2;717703081;717703161;0.0
-710881906;6683423211;7123942132;0.0
-717838603#3;1137796469;cluster_1137796477_7442733598;0.0
-718078209#2;715643058;717703175;0.0
-727714808#0;674095470;292203373;0.0
-727714808#2;1145134909;674095470;0.0
-727715074#0;461889584;4991308041;0.0
-727715074#1;1769507901;461889584;0.0
-727715074#2;461889823;1769507901;0.0
-727715074#4;292203373;461889823;0.0
-727715249;4991308041;cluster_2433850374_461889598;0.0
-730423880;6842513227;6842513226;0.0
-730423881;6842513229;cluster_719065307_719065650;0.0
-731154055;6848306614;1141849861;0.0
-731748988;719035768;6852421464;0.0
-732257382;6856734103;6856734102;0.0
-736477243#0;7131140539;6895300328;0.0
-737565192;461889998;461889785;0.0
-73813922#1;2435698202;cluster_686792839_935539954;0.0
-73813922#2;686792846;2435698202;0.0
-73813922#3;cluster_2916459408_2916459409;686792846;0.0
-73813922#5;3774979558;cluster_2916459408_2916459409;0.0
-73813922#6;2180390975;3774979558;0.0
-73813922#7;cluster_292199335_935539995;2180390975;0.0
-73813927#3;2663750270;686792403;0.0
-73813928#0;3128741687;935562868;0.0
-73813928#2;873563428;3128741687;0.0
-73814457#5;686822087;686792755;0.0
-757805116#0;686822254;686822261;0.0
-757805116#1;686822264;686822254;0.0
-757805117;686822252;686822261;0.0
-757805118#0;7077174723;7124599605;0.0
-757805118#1;7077174725;7077174723;0.0
-757805118#2;7077174727;7077174725;0.0
-757849609;1386606842;3736282281;0.0
-759999001#0;717688229;717688233;0.0
-759999001#1;717687926;717688229;0.0
